# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "annotations.gtf" "-o" "results/gene_counts.txt" "-T" "4" "results/aligned_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/aligned_Aligned.sortedByCoord.out.bam
ENSG00000099917	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	20495913;20500741;20507541;20507582;20507582;20507585;20507594;20507602;20507610;20507612;20507618;20507641;20508048;20508057;20518878;20518878;20518878;20518878;20523643;20524275;20524287;20537117;20537117;20537117;20537117;20537117;20537117;20537117;20537117;20537117;20537117;20537117;20537117;20537117;20537117;20537117;20537117;20550987;20551007;20551241;20551290;20551313;20551407;20551436;20551436;20551436;20551436;20551436;20551436;20551436;20551436;20551436;20551436;20551436;20551436;20551436;20551436;20551436;20551436;20551436;20552539;20553097;20553145;20553145;20553145;20553145;20553145;20553145;20553145;20553145;20553145;20553145;20553145;20553145;20553145;20553145;20553145;20553145;20553145;20554239;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20554936;20555077;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20564450;20566465;20566467;20566467;20566467;20566467;20566467;20566467;20566467;20566467;20566467;20568521;20568521;20568521;20568521;20568521;20568521;20568521;20573678;20575113;20581901;20582094;20582611;20582611;20582611;20582611;20582611;20582611;20582611;20582840;20582840;20582840;20582840;20582840;20582840;20582840;20582840;20582840;20582930;20583113;20583113;20583113;20583113;20583113;20583113;20583113;20583113;20583113;20583113;20583330;20583330;20583330;20583330;20583330;20583330;20583330;20583330;20583330;20583330;20583338;20584359;20584359;20584359;20584359;20584359;20584359;20584359;20584359;20584359;20584855;20584855;20584855;20584855;20584855;20584855;20584855;20584855;20584946;20585101;20585101;20585101;20585101;20585101;20585101;20585101;20585101;20585101;20585101;20585728;20585728;20585728;20585728;20585728;20585728;20585728;20585728;20586568;20586568;20586568;20586568;20586568;20586568;20586568;20586568;20586568	20496036;20500836;20507746;20507746;20507746;20507746;20507746;20507746;20507746;20507746;20507735;20507746;20508444;20508444;20518995;20518995;20518995;20518995;20523855;20524366;20524366;20537204;20537204;20537183;20537204;20537204;20537204;20537204;20537204;20537204;20537204;20537204;20537204;20537215;20537204;20537204;20537215;20551166;20551347;20551347;20551347;20551347;20551487;20551487;20551487;20551487;20551487;20551487;20551487;20551487;20551487;20551487;20551487;20551487;20551487;20551487;20551748;20551487;20551487;20551487;20552709;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20553174;20555148;20555148;20555077;20555148;20554995;20555148;20555148;20555148;20555148;20555091;20555148;20555148;20555148;20555148;20555148;20555148;20555148;20555135;20555148;20555148;20564688;20564688;20564688;20564688;20564636;20564598;20564624;20564597;20564509;20564688;20564466;20564688;20564688;20564688;20564606;20564688;20564500;20564493;20566817;20566490;20566526;20566817;20566536;20566817;20566817;20566817;20566817;20566817;20568631;20568631;20568631;20568631;20568631;20568631;20568631;20575232;20575232;20582747;20583247;20582747;20582747;20582747;20582747;20582747;20582747;20582747;20582967;20582967;20582967;20582967;20582967;20582967;20582967;20582967;20582967;20582967;20583247;20583247;20583247;20583247;20583227;20583247;20583247;20583247;20583247;20583247;20583749;20583393;20585826;20583393;20583393;20583393;20583393;20583393;20583393;20583393;20583393;20584425;20584425;20584425;20584425;20584425;20584425;20584425;20584425;20584425;20585015;20585015;20585015;20585015;20585015;20585015;20585015;20585015;20585015;20585803;20585423;20585267;20585267;20585267;20585267;20585267;20585267;20585267;20585267;20585826;20585826;20585826;20585826;20585826;20585826;20585826;20585826;20587632;20587617;20587617;20587617;20586867;20587617;20587619;20587632;20587619	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10374	0
ENSG00000211667	22;22	22771824;22772282	22771878;22772582	+;+	356	0
ENSG00000211668	22;22	22792491;22792696	22792578;22793007	+;+	400	0
ENSG00000280025	22	27102766	27107019	+	4254	0
ENSG00000279848	22	27044001	27045315	+	1315	0
ENSG00000231392	22	22774529	22774691	+	163	0
ENSG00000214526	22	23322543	23322927	-	385	0
ENSG00000099985	22;22;22;22;22;22;22;22	30262829;30263868;30264075;30265002;30265002;30265559;30266766;30266766	30264464;30264464;30264464;30265144;30265144;30265818;30266839;30266851	-;-;-;-;-;-;-;-	2125	0
ENSG00000235786	22;22	28992721;29018164	28992937;29018620	+;+	674	0
ENSG00000231405	22;22	27143478;27159458	27143529;27159878	+;+	473	0
ENSG00000234891	22;22;22	34703126;34704071;34704709	34703423;34704363;34704885	-;-;-	768	0
ENSG00000100365	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	36860988;36860988;36861006;36862303;36862524;36863091;36863147;36864045;36864045;36864045;36864045;36864045;36864919;36864919;36864919;36864919;36864919;36864919;36867392;36867392;36867392;36867392;36867392;36867392;36870415;36870415;36870415;36870415;36870415;36870415;36871652;36871652;36871652;36871652;36871652;36871652;36872137;36872327;36872327;36872327;36872327;36872327;36872327;36872327;36875653;36875653;36875653;36875653;36875653;36875653;36875653;36876029;36876029;36876029;36876029;36877628;36877628;36877628;36877628;36877628;36877628	36861203;36861203;36861203;36862387;36862781;36863225;36863225;36864129;36864129;36864129;36864129;36864129;36865072;36865072;36865072;36865072;36865072;36865072;36867462;36867462;36867462;36867462;36867462;36867462;36870542;36870542;36870542;36870542;36870542;36870542;36871709;36871709;36871709;36871709;36871709;36871709;36872254;36872425;36872425;36872425;36872425;36872425;36872425;36872425;36876094;36875783;36875787;36875783;36876094;36875783;36875832;36876094;36876094;36876094;36876094;36877764;36878014;36878010;36878015;36878010;36878017	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2239	0
ENSG00000235485	22	34589085	34591278	-	2194	0
ENSG00000100346	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	39570753;39570753;39570753;39570753;39598151;39598151;39598151;39598151;39600520;39600520;39600520;39600520;39619310;39619310;39619310;39619310;39634565;39634565;39634565;39634565;39640867;39640867;39640867;39640867;39642797;39642797;39642797;39642797;39642797;39643438;39646569;39646569;39646569;39646569;39647822;39647822;39649501;39649501;39649501;39649501;39658152;39658152;39658152;39658152;39658931;39658931;39658931;39658931;39659433;39659433;39659433;39659433;39659697;39659697;39659697;39659697;39660344;39660344;39660344;39660344;39661108;39661108;39661108;39661108;39661965;39661965;39661965;39661965;39662776;39662776;39662776;39662776;39663718;39663718;39663718;39663718;39664091;39664091;39664091;39664091;39664739;39664739;39664739;39664739;39665498;39665498;39665498;39665498;39665881;39665881;39665881;39665881;39668292;39668292;39668292;39668292;39670038;39670038;39670038;39670038;39670803;39670803;39670803;39670803;39672199;39672199;39672199;39672199;39672949;39672949;39672949;39672949;39673963;39673963;39673963;39673963;39677341;39677341;39677341;39677341;39677987;39677987;39677987;39677987;39679107;39679107;39679107;39679107;39679722;39679722;39679722;39679722;39680930;39680930;39680930;39680930;39682496;39682496;39682496;39682496;39684302;39684302;39684302;39684302;39685761;39685761	39570988;39570988;39570988;39570988;39598262;39598262;39598262;39598262;39600653;39600653;39600653;39600653;39619407;39619407;39619407;39619407;39634724;39634724;39634724;39634724;39641182;39641182;39641182;39641182;39642889;39642889;39642889;39642889;39642889;39643512;39646881;39646881;39646881;39646881;39647926;39647926;39649925;39649925;39649925;39649925;39658303;39658303;39658303;39658303;39659116;39659116;39659116;39659116;39659550;39659550;39659550;39659550;39659852;39659852;39659852;39659852;39660437;39660437;39660437;39660437;39661310;39661310;39661310;39661310;39662435;39662435;39662435;39662435;39662876;39662876;39662876;39662876;39663841;39663841;39663841;39663841;39664159;39664159;39664159;39664159;39664923;39664923;39664923;39664923;39665624;39665624;39665624;39665624;39666006;39666006;39666006;39666006;39668381;39668381;39668381;39668381;39670230;39670230;39670230;39670230;39670954;39670954;39670954;39670954;39672308;39672308;39672308;39672308;39673082;39673082;39673082;39673082;39674033;39674033;39674033;39674033;39677419;39677419;39677419;39677419;39678108;39678108;39678108;39678108;39679445;39679445;39679445;39679445;39679868;39679868;39679868;39679868;39681052;39681052;39681052;39681052;39682661;39682661;39682661;39682661;39684498;39684498;39685211;39684528;39689735;39689730	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10790	0
ENSG00000232464	22;22	25959074;25983305	25959323;25983526	-;-	472	0
ENSG00000279440	22	27019369	27024550	+	5182	0
ENSG00000279699	22	30275215	30276951	-	1737	0
ENSG00000175329	22;22;22;22;22;22;22;22;22	35066136;35066158;35066752;35082518;35082518;35084383;35084383;35085454;35085454	35067316;35066462;35067316;35082669;35082669;35084499;35084499;35087387;35087387	+;+;+;+;+;+;+;+;+	3384	0
ENSG00000234979	22;22;22	36816326;36818382;36819701	36816440;36818779;36819736	+;+;+	549	0
ENSG00000268812	22	30246205	30246998	+	794	0
ENSG00000176177	22;22;22;22;22;22;22;22;22	39743044;39765223;39820993;39835840;39861765;39887400;39893215;39893695;39893695	39744283;39765609;39821113;39835958;39862007;39887903;39893498;39893864;39893760	-;-;-;-;-;-;-;-;-	3068	0
ENSG00000128342	22;22;22;22;22	30240453;30243533;30244755;30246677;30246677	30244061;30244061;30244933;30246759;30246739	-;-;-;-;-	3871	0
ENSG00000100307	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	39120167;39130772;39133584;39133691;39134401;39134401;39134401;39134569;39138636;39138636;39138636;39141120;39141371;39141371;39147118;39149789;39149789;39149789;39149789;39149789;39152376;39152376;39152376;39152376;39152376	39120573;39134048;39134048;39134045;39134473;39134779;39134752;39134752;39138702;39138702;39138702;39141436;39141436;39141436;39149832;39149832;39149832;39149832;39149832;39149832;39152674;39152552;39152540;39152444;39152680	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7467	0
ENSG00000100344	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	43923792;43923803;43923805;43924114;43926935;43926935;43926935;43926940;43928824;43928824;43928824;43928824;43932878;43932878;43932878;43932878;43933007;43934606;43934606;43934606;43934606;43937051;43937051;43937051;43937051;43939336;43939993;43939993;43939993;43944691;43944691;43944691;43946154;43946154;43963286;43964452	43924098;43924086;43924098;43924334;43927167;43927167;43927167;43927167;43928889;43928889;43928889;43928889;43933087;43933087;43933087;43933087;43933087;43934666;43934666;43934666;43934666;43937272;43937272;43937272;43937272;43939393;43940125;43940125;43940125;43944795;43944795;43944795;43947061;43947582;43963396;43964488	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3193	0
ENSG00000286801	22;22	43507824;43512370	43508159;43513727	-;-	1694	0
ENSG00000232050	22	26006389	26006532	-	144	0
ENSG00000186976	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	43528744;43528744;43528778;43528778;43528780;43530815;43530815;43530815;43530815;43530815;43532016;43533371;43534688;43534688;43534688;43537377;43537377;43537377;43540127;43540127;43540127;43551846;43554869;43554869;43554869;43570087;43576297;43576297;43576297;43580464;43580464;43580464;43590074;43590074;43590074;43600069;43600069;43600069;43608482;43608482;43608482;43615826;43615826;43626447;43626447;43626447;43632105;43632105;43632105;43635102;43635102;43635102;43667104;43667104;43667104;43668872;43668872;43668872;43671973;43671973;43671973;43672246;43672246;43672246;43677996;43677996;43683664;43683747;43683747;43687471;43687471;43687471;43711475;43711475;43711475;43716671;43716848;43716848;43716848;43731699;43731699;43731699;43731699;43735857;43735857;43735857;43735857;43755766;43755766;43755766;43755766;43765305;43765305;43765305;43765305;43765305;43772892;43772892;43782180;43782180;43782180;43782210;43797245;43797245;43808995;43808995;43808995;43808995;43808995;43808995;43812168;43812168;43812168;43812168;43812168;43812168	43528975;43528975;43528975;43528975;43528975;43530964;43530964;43530964;43530964;43530964;43532061;43533505;43534872;43534872;43534872;43537545;43537545;43537545;43540357;43540357;43540357;43555096;43555096;43555096;43555096;43570143;43576488;43576488;43576488;43580659;43580659;43580659;43590229;43590229;43590229;43600263;43600263;43600263;43608600;43608600;43608600;43615922;43615922;43626679;43626679;43626679;43632238;43632238;43632238;43635216;43635216;43635216;43667272;43667272;43667272;43669045;43669045;43669045;43672133;43672133;43672133;43672270;43672305;43672305;43678163;43678163;43683855;43683855;43683855;43687581;43687581;43687581;43711623;43711623;43711623;43716972;43716972;43716972;43716972;43731811;43731811;43731811;43731811;43735993;43735993;43735993;43735993;43755832;43755832;43755832;43755832;43765393;43765393;43765393;43765393;43765393;43773103;43773103;43782325;43782325;43782325;43782325;43797351;43797351;43809131;43809131;43809131;43809131;43809131;43809131;43812253;43812274;43812305;43812337;43812305;43812190	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8557	0
ENSG00000054611	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	46762617;46762650;46762651;46762659;46762672;46762681;46762683;46762687;46763266;46763742;46768048;46773927;46788980;46789312;46789312;46792520;46792520;46792520;46792520;46792520;46792520;46792520;46792520;46792520;46792520;46792668;46792668;46792668;46793501;46793501;46793501;46793501;46793501;46793501;46793501;46793501;46793501;46793501;46793501;46797444;46797444;46797444;46797444;46797444;46878653;46878653;46878653;46878653;46878653;46878653;46891266;46891266;46891266;46891266;46891266;46891266;46891266;46894784;46894784;46894784;46894784;46894784;46894784;46894784;46912074;46912074;46912074;46912074;46912074;46912074;46912074;46913334;46974290;46974290;46974290;46974290;46974290;46974290;46997634;46997634;46997634;46997634;46997634;46997634;46997634;47037071;47037071;47037071;47037071;47037071;47037071;47037071;47111508;47111508;47111508;47111508;47111508;47111508;47111508;47173498;47173498;47173498;47173498;47173498;47173498;47173498	46762848;46762848;46762848;46762848;46762848;46762848;46762848;46762848;46763331;46764286;46768177;46774235;46789037;46789471;46789471;46792576;46792576;46792576;46792576;46792576;46792576;46792576;46792576;46792576;46792576;46792804;46792804;46792762;46793841;46793841;46793841;46793616;46793775;46793841;46793841;46793841;46793675;46793671;46793841;46797620;46797620;46797620;46797620;46797620;46878723;46878723;46878723;46878723;46878723;46878723;46891394;46891394;46891394;46891394;46891394;46891394;46891394;46894846;46894846;46894846;46894846;46894846;46894846;46894846;46912188;46912188;46912188;46912188;46912188;46912188;46912188;46913446;46974399;46974399;46974399;46974399;46974399;46974399;46997709;46997709;46997709;46997709;46997709;46997709;46997709;47037198;47037198;47037198;47037198;47037198;47037198;47037198;47111603;47111603;47111603;47111603;47111603;47111603;47111603;47175699;47174092;47174092;47174087;47174086;47174083;47175693	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5315	0
ENSG00000232897	22;22	47662559;47663226	47662920;47663603	-;-	740	0
ENSG00000235154	22;22	48044710;48048470	48045001;48048549	-;-	372	0
ENSG00000100316	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	39312882;39312882;39312884;39312884;39312884;39312887;39313191;39313191;39313191;39313191;39313191;39313634;39313634;39313634;39313634;39313707;39313931;39314107;39314107;39314107;39314107;39314150;39314686;39314686;39314686;39314686;39314686;39314686;39314686;39314700;39315362;39315369;39315369;39315369;39315369;39315369;39315369;39315369;39315369;39315552;39316706;39316706;39316706;39316706;39316706;39316706;39316706;39316706;39317051;39317396;39317461;39317461;39317461;39317461;39317461;39317461;39317461;39317855;39318112;39318400;39318400;39318400;39318400;39318400;39318400;39318400;39318400;39318400;39318400;39319028;39319372;39319390;39319390;39319390;39319499;39319595;39319595;39319595;39319595;39319727	39312984;39312984;39312984;39313310;39312984;39312984;39314208;39313310;39313310;39313705;39313310;39313729;39313729;39313729;39313729;39313729;39314208;39314208;39314208;39314208;39314208;39314408;39314846;39314846;39314846;39314846;39314965;39314846;39314846;39314846;39315555;39315555;39315555;39315429;39315555;39315486;39315555;39315555;39315555;39315555;39316841;39317021;39316841;39317068;39316841;39317021;39316841;39316841;39317629;39317629;39317629;39317629;39317629;39317629;39317629;39317629;39317629;39318592;39318592;39318592;39318592;39318592;39318592;39318592;39318592;39318592;39318592;39318592;39318614;39319111;39319625;39319577;39319592;39319623;39319595;39319649;39319623;39319623;39319623;39320389	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4710	0
ENSG00000278881	22;22	47115838;47115838	47117215;47117217	-;-	1380	0
ENSG00000075218	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	46296870;46297380;46308150;46308319;46312141;46313890;46316032;46316037;46316037;46323190;46323190;46323190;46326436;46326436;46326436;46328688;46328688;46328923;46329358;46330047;46330047	46296931;46297479;46308207;46308943;46312305;46314013;46316412;46316412;46316412;46323262;46323262;46323262;46327316;46326654;46326654;46329130;46328889;46329567;46329567;46330152;46330810	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4113	0
ENSG00000228807	22	44483495	44483717	-	223	0
ENSG00000288540	22;22;22;22;22	48320412;48323804;48325200;48331824;48332698	48321395;48323989;48325937;48331938;48333199	-;-;-;-;-	2525	0
ENSG00000226024	22	39120293	39120566	-	274	0
ENSG00000100347	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	43955442;43955442;43963070;43963286;43964452;43964452;43968731;43968731;43972236;43972236;43972871;43972871;43973236;43973236;43974595;43976055;43976750;43976750;43977872;43977872;43981391;43981391;43983933;43983933;43986344;43989111;43989111;43990265;43990265;43990265;43990328;43995391;43996194;43996338;43996338;43996338;44009477;44010492	43955598;43955598;43963226;43963396;43964553;43964553;43968818;43968818;43972342;43972342;43973001;43973001;43973322;43973323;43976183;43976183;43976821;43976821;43977958;43977958;43981461;43981461;43984000;43984000;43989257;43989257;43989257;43990406;43990406;43990406;43990406;43995490;43996376;43996529;43996529;43996529;44009526;44010531	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6410	0
ENSG00000075234	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	46267961;46268008;46268008;46268008;46268040;46268514;46268514;46268514;46268514;46268514;46269142;46269142;46272335;46272335;46272335;46272372;46273898;46273898;46273898;46273898;46275248;46275248;46275248;46275248;46278586;46278586;46278586;46280069;46281599;46281599;46281971;46283973;46283973;46285241;46287073;46288423;46288510;46289402;46289402;46289826;46289826;46292203;46292791;46292791	46268072;46268072;46268072;46268072;46268072;46268591;46268927;46268591;46268591;46268591;46269192;46269289;46272416;46272416;46272416;46272416;46274069;46274069;46274069;46274069;46275421;46275421;46275421;46275285;46278661;46278661;46278661;46280242;46281718;46281718;46282151;46284032;46284032;46285279;46287154;46288588;46288588;46289561;46289561;46289899;46289899;46292328;46292933;46294008	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3578	0
ENSG00000279182	22	50316035	50317025	+	991	0
